user_pair,restaurant1,match1,lmu
oITgyVd36mnx9FFGOOBYFw+++SvsoiaCf0WG7UIDJOxJ7Yg,Kabab House,1,1
oITgyVd36mnx9FFGOOBYFw+++SvsoiaCf0WG7UIDJOxJ7Yg,Matador Coffee,1,1
oUst55rUuv2nKEQ0FgJ5GQ+++qExRQH6XkSa91EGwvNX4jQ,Kabab House,1,1
oUst55rUuv2nKEQ0FgJ5GQ+++qExRQH6XkSa91EGwvNX4jQ,Krua Thai Cuisine,1,1
oUst55rUuv2nKEQ0FgJ5GQ+++z_tqPytGQF_tDw_buHKJcw,Viet Kitchen,0.6,0
oUst55rUuv2nKEQ0FgJ5GQ+++z_tqPytGQF_tDw_buHKJcw,Rosati's Pizza,0.5,0
oUst55rUuv2nKEQ0FgJ5GQ+++z_tqPytGQF_tDw_buHKJcw,Kabab House,1,0
oUst55rUuv2nKEQ0FgJ5GQ+++z_tqPytGQF_tDw_buHKJcw,Mi Comida Restaurante Latino,1,0
oUst55rUuv2nKEQ0FgJ5GQ+++z_tqPytGQF_tDw_buHKJcw,Krua Thai Cuisine,0.5,0
qExRQH6XkSa91EGwvNX4jQ+++SvsoiaCf0WG7UIDJOxJ7Yg,Kabab House,0.8,1
qExRQH6XkSa91EGwvNX4jQ+++SvsoiaCf0WG7UIDJOxJ7Yg,Matador Coffee,1,1
qExRQH6XkSa91EGwvNX4jQ+++z_tqPytGQF_tDw_buHKJcw,Kabab House,1,0
qExRQH6XkSa91EGwvNX4jQ+++z_tqPytGQF_tDw_buHKJcw,40th Street Cafe,1,0
qExRQH6XkSa91EGwvNX4jQ+++z_tqPytGQF_tDw_buHKJcw,Krua Thai Cuisine,0.5,0
